title,author
ad - Acting Edition,Bert V. Royal
Dog Songs: Poems,Mary Oliver
Dollbaby: A Novel,Laura Lane McNeal
Dollhouse: A Novel,Kim Kardashian
Dominoes,Susan Emshwiller
Don Juan Tenorio (Clasicos de la literatura series),Jose Zorrilla
Don Quijote de la Mancha (Spanish Edition),Miguel Cervantes
Don Quijote de la Mancha (Spanish Edition),Miguel de Cervantes
"Don Quijote: Legacy Edition (Cervantes & Co.) (Spanish Edition) (European Masterpieces, Cervantes & Co. Spanish Classics)",Miguel de Cervantes Saavedra
Don Quixote,Miguel de Cervantes
Don Quixote of La Mancha (Restless Classics),Miguel de Cervantes
Don't Ever Get Old (Buck Schatz Series),Daniel Friedman
"Don't Jump: Sex, Drugs, Rock 'N Roll... And My Fucking Mother",Vicki Abelson
Don't Let Me Go,Catherine Ryan Hyde
Don't Make Me Wait (Urban Books),Shana Burton
Don't: A Manual Of Mistakes And Improprieties More Or Less Prevalent In Conduct And Speech (1884),Censor
Donald Duk,Frank Chin
Doomed,Chuck Palahniuk
Dopefiend,Donald Goines
Dopeman: Memoirs of a Snitch:: Part 3 of Dopeman's Trilogy,JaQuavis Coleman
Down For Him: A Hood Love Story,Jada Pullen
Down These Mean Streets,Piri Thomas
"Dr Seuss Collection 20 Books Set Pack (The Cat in the Hat, Green Eggs and Ham, Fox in Socks, One Fish Two Fish Red Fish Blue Fish, How the Grinch Stole Christmas!, Oh the Places You'll Go!, the Cat in the Hat Comes Back, Dr. Seuss' Abc, Dr. Seuss ..)",Dr. Seuss
Dr. Faustus (Dover Thrift Editions),Christopher Marlowe
Dr. Seuss Pops Up,Dr. Seuss
Dracula,Bram Stoker
Dracula: A Play in Two Acts,Bram Stoker
Dracula: Writer's Digest Annotated Classics,Bram Stoker
Dracula's Guest and Other Weird Tales (Penguin Classics),Bram Stoker
Dragon (Dirk Pitt Adventure),Clive Cussler
Dragon Warrior (Midnight Bay),Janet Chapman
Dragonfish: A Novel,Vu Tran
Dragonvein: Book Two,Brian D. Anderson
Drama Essentials: An Anthology of Plays,Matthew Roudane
Drama Ministry,Steve Pederson
"Drama, Drinks and Double Faults: The Skinny about Tennis Fanatics That No One Has Had the Balls to Say . . . 'Til Now!",Mary Moses
"Drama, Skits, & Sketches 3",Youth Specialties
Drama: A Pocket Anthology (Penguin Academics Series) (5th Edition),R. S. Gwynn
Dreams in a Time of War: A Childhood Memoir,Ngugi wa Thiong'o
Dreams Of My Mothers: A Story Of Love Transcendent,Joel L. A. Peterson
Dreams of the Red Phoenix,Virginia Pye
Dreamtigers (Texas Pan American Series),Jorge Luis Borges
Drifting House,Krys Lee
Drink Cultura: Chicanismo,Jos Antonio Burciaga
Driven To Be Loved (Carmen Sisters),Pat Simmons
Driving the King: A Novel,Ravi Howard
Drone Command (A Troy Pearce Novel),Mike Maden
Drone String: Poems,Sherry Cook Stanforth
Drones (The Maliviziati Series.) (Volume 1),Johnny Ray
Drown,Junot Diaz
Drowned Boy: Stories (Mary McCarthy Prize in Short Fiction),Jerry Gabriel
Drowning Ruth: A Novel (Oprah's Book Club),Christina Schwarz
Drunk Enough to Say I Love You?,Caryl Churchill
Dry Bones: A Walt Longmire Mystery (Walt Longmire Mysteries),Craig Johnson
Dryland,Sara Jaffe
Dubliners,James Joyce
Dubliners (Dover Thrift Editions),James Joyce
Duende: Poems,Tracy K. Smith
Dumpling Field: Haiku Of Issa,Lucien Stryk
Dust,Yvonne Adhiambo Owuor
Dusty Locks and the Three Bears,Susan Lowell
Dysfluencies: On Speech Disorders in Modern Literature,Chris Eagle
Each Shining Hour: A Novel of Watervalley,Jeff High
Each Thing Unblurred is Broken,Andrea Baker
Early One Morning,Virginia Baily
Early Warning: A novel,Jane Smiley
"Earth Is My Mother, Sky Is My Father: Space, Time, and Astronomy in Navajo Sandpainting",Trudy Griffin-Pierce
Earth Medicine: Ancestor's Ways of Harmony for Many Moons,Jamie Sams
East of Acre Lane,Alex Wheatle
East Of Eden - John Steinbeck Centennial Edition (1902-2002),"John; With an Introduction by Wyatt, David Steinbeck"
East of Eden (Penguin Twentieth Century Classics),John Steinbeck
